"","country","continent","year","lifeExp","pop","gdpPercap"
"67","Ecuador","Americas",1982,64.342,8365850,7213.791267
"68","Ecuador","Americas",1987,67.231,9545158,6481.776993
"69","Ecuador","Americas",1992,69.613,10748394,7103.702595
"70","Ecuador","Americas",1997,72.312,11911819,7429.455877
"71","Ecuador","Americas",2002,74.173,12921234,5773.044512
"72","Ecuador","Americas",2007,74.994,13755680,6873.262326
"73","Paraguay","Americas",1952,62.649,1555876,1952.308701
"74","Paraguay","Americas",1957,63.196,1770902,2046.154706
"75","Paraguay","Americas",1962,64.361,2009813,2148.027146
"76","Paraguay","Americas",1967,64.951,2287985,2299.376311
"77","Paraguay","Americas",1972,65.815,2614104,2523.337977
"78","Paraguay","Americas",1977,66.353,2984494,3248.373311
"79","Paraguay","Americas",1982,66.874,3366439,4258.503604
"80","Paraguay","Americas",1987,67.378,3886512,3998.875695
"81","Paraguay","Americas",1992,68.225,4483945,4196.411078
"82","Paraguay","Americas",1997,69.4,5154123,4247.400261
"83","Paraguay","Americas",2002,70.755,5884491,3783.674243
"84","Paraguay","Americas",2007,71.752,6667147,4172.838464
"85","Peru","Americas",1952,43.902,8025700,3758.523437
"86","Peru","Americas",1957,46.263,9146100,4245.256698
"87","Peru","Americas",1962,49.096,10516500,4957.037982
"88","Peru","Americas",1967,51.445,12132200,5788.09333
"89","Peru","Americas",1972,55.448,13954700,5937.827283
"90","Peru","Americas",1977,58.447,15990099,6281.290855
"91","Peru","Americas",1982,61.406,18125129,6434.501797
"92","Peru","Americas",1987,64.134,20195924,6360.943444
"93","Peru","Americas",1992,66.458,22430449,4446.380924
"94","Peru","Americas",1997,68.386,24748122,5838.347657
"95","Peru","Americas",2002,69.906,26769436,5909.020073
"96","Peru","Americas",2007,71.421,28674757,7408.905561
"97","Uruguay","Americas",1952,66.071,2252965,5716.766744
"98","Uruguay","Americas",1957,67.044,2424959,6150.772969
"99","Uruguay","Americas",1962,68.253,2598466,5603.357717
"100","Uruguay","Americas",1967,68.468,2748579,5444.61962
"101","Uruguay","Americas",1972,68.673,2829526,5703.408898
"102","Uruguay","Americas",1977,69.481,2873520,6504.339663
"103","Uruguay","Americas",1982,70.805,2953997,6920.223051
"104","Uruguay","Americas",1987,71.918,3045153,7452.398969
"105","Uruguay","Americas",1992,72.752,3149262,8137.004775
"106","Uruguay","Americas",1997,74.223,3262838,9230.240708
"107","Uruguay","Americas",2002,75.307,3363085,7727.002004
"108","Uruguay","Americas",2007,76.384,3447496,10611.46299
"109","Venezuela","Americas",1952,55.088,5439568,7689.799761
"110","Venezuela","Americas",1957,57.907,6702668,9802.466526
"111","Venezuela","Americas",1962,60.77,8143375,8422.974165
"112","Venezuela","Americas",1967,63.479,9709552,9541.474188
"113","Venezuela","Americas",1972,65.712,11515649,10505.25966
"114","Venezuela","Americas",1977,67.456,13503563,13143.95095
"115","Venezuela","Americas",1982,68.557,15620766,11152.41011
"116","Venezuela","Americas",1987,70.19,17910182,9883.584648
"117","Venezuela","Americas",1992,71.15,20265563,10733.92631
"118","Venezuela","Americas",1997,72.146,22374398,10165.49518
"119","Venezuela","Americas",2002,72.766,24287670,8605.047831
"120","Venezuela","Americas",2007,73.747,26084662,11415.80569
